name,comm_code,census_year,population,occupied dwellings,persons per unit,notes
NORTH GLENMORE PARK,NGM,2016,2398,948,2.53,
SOUTH CALGARY,SOC,1995,3295,1693,1.95,
ALTADORE,ALT,1998,5359,2452,2.19,
PANORAMA HILLS,PAN,1988,16,4,4,
BANKVIEW,BNK,2014,5416,3339,1.62,
GLENBROOK,GBK,1982,7674,2793,2.75,
SILVER SPRINGS,SIL,2001,9873,3460,2.85,
CHRISTIE PARK,CHR,1974,44,11,4,
RED CARPET,RED,2010,1649,887,1.86,
TUSCANY,TUS,1996,238,88,2.7,
MAYFAIR,MAF,1978,667,184,3.63,
CORNERSTONE,CNS,1993,0,0,0,
NEW BRIGHTON,NEB,1977,0,0,0,
EAU CLAIRE,EAU,2005,1528,910,1.68,
GARRISON WOODS,GAW,2002,0,0,0,
SADDLE RIDGE,SAD,1996,131,40,3.28,
PANORAMA HILLS,PAN,1995,21,8,2.63,
SUNALTA,SNA,1991,3127,1880,1.66,
SILVERADO,SVO,1981,0,0,0,
BEL-AIRE,BEL,2009,430,142,3.03,
REDSTONE,RSN,2010,0,0,0,
FOREST LAWN,FLN,1986,8252,2868,2.88,
BOWNESS,BOW,1977,12132,3758,3.23,
MISSION,MIS,1972,3599,1833,1.96,
FOREST HEIGHTS,FHT,1999,6802,2054,3.31,
WALDEN,WAL,1975,0,0,0,
SHAWNEE SLOPES,SHS,1978,0,0,0,
PALLISER,PAL,1983,3154,1270,2.48,
ELBOW PARK,EPK,1981,3366,1165,2.89,
SPRINGBANK HILL,SPH,1994,0,0,0,
GREENVIEW,GRV,1993,2229,1036,2.15,
CAPITOL HILL,CAP,1985,3820,1875,2.04,
CITADEL,CIT,1973,0,0,0,
ELBOYA,EYA,2009,1698,696,2.44,
PENBROOKE MEADOWS,PEN,1990,9886,2762,3.58,
ABBEYDALE,ABB,2001,6580,1967,3.35,
HOUNSFIELD HEIGHTS/BRIAR HILL,HOU,1997,2634,920,2.86,
HILLHURST,HIL,1997,4996,2572,1.94,
CURRIE BARRACKS,CUR,1979,11,,,
GLAMORGAN,GLA,1991,6395,2725,2.35,
SANDSTONE VALLEY,SAN,1972,0,0,0,
DEER RUN,DRN,1986,5523,1791,3.08,
ELBOYA,EYA,1993,1667,713,2.34,
COUGAR RIDGE,CGR,2000,55,19,2.89,
PARKHILL,PKH,1985,1127,550,2.05,
QUEENS PARK VILLAGE,QPK,1968,0,0,0,
REDSTONE,RSN,2000,0,0,0,
DOWNTOWN WEST END,DNW,2015,2501,1469,1.7,
RIVERBEND,RIV,1994,8787,2958,2.97,
